moteur;question;categorie_attendue;categorie_obtenue;classification;branche;refus_attendu;refus_obtenu;rappel;sources
mots_cles;"Combien de produits en rupture ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quels sont les produits isolés du catalogue ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quels sont les segments saturés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelle est la situation de l'artisan ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
mots_cles;"Quelle est l'activité de la boutique ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
mots_cles;"Quels artisans travaillent la vannerie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ12-0002 — sac en paille | BTQ12-0003 — chapeau en paille | BTQ12-0004 — babouche | BTQ12-0005 — sac | BTQ12-0008 — chapeau"
mots_cles;"Qui fait de la sculpture au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ07-0001 — bracelet | BTQ07-0002 — masque | BTQ08-0001 — Bol en bois | BTQ07-0003 — masque | BTQ08-0002 — objet en bois"
mots_cles;"Quels artisans travaillent le bronze ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;non;oui;0.000;
mots_cles;"Que propose l'agroalimentaire au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ06-0001 — biscuit | BTQ06-0002 — farine patate | BTQ06-0010 — biscuit de manioc | BTQ06-0011 — biscuit de patate | BTQ06-0013 — biscuit patate"
mots_cles;"Quels artisans font du tissage ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;non;oui;0.000;
mots_cles;"Qui travaille le cuir ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ12-0001 — chaussure | ART-2026-0009 — NSO YONKA - Shoe Factory"
mots_cles;"Quels artisans font de la menuiserie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ09-0001 — bracelet | BTQ09-0002 — boucles | BTQ09-0003 — Porte clé | BTQ09-0004 — boucle | BTQ09-0005 — bracelets"
mots_cles;"Que trouve-t-on en cosmétiques ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ06-0003 — beurre de karité | BTQ06-0004 — beurre karité | BTQ00-0004 — détergent sachet | BTQ00-0005 — lave vitre | BTQ00-0006 — détergent"
mots_cles;"Quels produits relèvent de la décoration ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ02-0001 — anti poison | BTQ02-0002 — charbon végétal | BTQ02-0003 — ginseng | BTQ02-0004 — anti,,, | BTQ02-0005 — médicament"
mots_cles;"Quels artisans pratiquent la broderie traditionnelle ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"ART-2026-0007 — NKONDZOU Thomas | ART-2026-0008 — DJOKO POKAM ALEX | ART-2026-0019 — TSANMAT | ART-2026-0040 — BASSIE MOFO Julius"
mots_cles;"Quels artisans soufflent le verre de Murano ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Où acheter des skis de fond au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Quel est le taux de change du yen japonais ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Quels artisans réparent les moteurs diesel ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Le village propose-t-il des cours de plongée sous-marine ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Quelle est la météo prévue pour la semaine prochaine ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Qui vend des semi-conducteurs au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Trouve-t-on de la porcelaine de Limoges ici ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
dense;"Quel est le chiffre d'affaires ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel est le chiffre d'affaires en juillet ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel chiffre d'affaires en 2024 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel est le montant des ventes ce mois-ci ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Combien le village a-t-il vendu cette année ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelles sont les recettes de commission ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel est le montant des commissions en mars 2025 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Combien de ventes ont été enregistrées ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Combien de ventes en juin 2024 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel est le panier moyen ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelles sont les dettes envers les artisans ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Combien reste-t-il à reverser ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel est le solde de caisse ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Combien y a-t-il en caisse ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel est le dernier reversement ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelle est la dernière campagne de reversement ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelles sont les ventes par boutique ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelles sont les ventes par artisan ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelles sont les ventes par vendeur en 2025 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelle est la provenance des clients ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel artisan vend le plus ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelle boutique vend le plus en juillet ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quel est le taux d'occupation du parc ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Combien d'espaces sont occupés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quels produits sont en rupture de stock ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Combien de produits en rupture ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quels sont les produits isolés du catalogue ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quels sont les segments saturés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
dense;"Quelle est la situation de l'artisan ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
dense;"Quelle est l'activité de la boutique ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
dense;"Quels artisans travaillent la vannerie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"ART-2026-0032 — MBOULE Simone | ART-2026-0025 — MOUTAPMBEME JONAS | BTQ12-0033 — Panniers en paille | BTQ01-0013 — Vin d'avaocat | BTQ01-0012 — Vin d'avocat"
dense;"Qui fait de la sculpture au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ08-0024 — sac en bandoulière | BTQ07-0007 — chaine en perles | BTQ07-0004 — statuette en bois | BTQ08-0013 — babouche et sac à main | BTQ08-0021 — Petit plateau en cœur"
dense;"Quels artisans travaillent le bronze ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ08-0011 — Cameroun sculpté | BTQ07-0007 — chaine en perles | BTQ08-0024 — sac en bandoulière | BTQ08-0025 — sac ndop en bandoulière | BTQ07-0004 — statuette en bois"
dense;"Que propose l'agroalimentaire au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ01-0009 — poudre d'ail | BTQ01-0011 — huile d'avocat | BTQ01-0013 — Vin d'avaocat | BTQ01-0010 — vin d'ail | BTQ01-0012 — Vin d'avocat"
dense;"Quels artisans font du tissage ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ00-0019 — tableau de décoration | BTQ04-0001 — Chips de mais | BTQ00-0050 — chips de pomme | BTQ00-0067 — Petit tableau déco | ART-2026-0035 — SOLISTA"
dense;"Qui travaille le cuir ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ00-0032 — clou de giroffle | BTQ00-0046 — Lait de toilette | BTQ00-0041 — lait éclaircissant | BTQ01-0011 — huile d'avocat | BTQ01-0009 — poudre d'ail"
dense;"Quels artisans font de la menuiserie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ00-0019 — tableau de décoration | BTQ09-0021 — Stylos en bambou de chine | BTQ00-0028 — biscuit de manioc | ART-2026-0032 — MBOULE Simone | BTQ09-0017 — Damier, Collier et tableau avec message"
dense;"Que trouve-t-on en cosmétiques ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;1.000;"BTQ00-0036 — Shampoing cosmétique | BTQ00-0005 — lave vitre | BTQ06-0003 — beurre de karité | BTQ00-0018 — savon | BTQ06-0004 — beurre karité"
dense;"Quels produits relèvent de la décoration ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;1.000;"BTQ00-0019 — tableau de décoration | BTQ09-0013 — tableau décoration | BTQ00-0029 — tableau décoration | ART-2026-0003 — CHIC DECOR - FANTE YOUDOM Brunette épse TCHEMBENG | BTQ09-0008 — Décoration murale"
dense;"Quels artisans pratiquent la broderie traditionnelle ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ00-0019 — tableau de décoration | ART-2026-0025 — MOUTAPMBEME JONAS | ART-2026-0032 — MBOULE Simone | BTQ08-0024 — sac en bandoulière | BTQ01-0009 — poudre d'ail"
dense;"Quels artisans soufflent le verre de Murano ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;oui;non;;"ART-2026-0025 — MOUTAPMBEME JONAS | ART-2026-0032 — MBOULE Simone | ART-2026-0021 — GUEKAM Phillipe | BTQ09-0021 — Stylos en bambou de chine | ART-2026-0001 — NGASSAM Bernadette"
dense;"Où acheter des skis de fond au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;oui;non;;"BTQ01-0009 — poudre d'ail | BTQ01-0019 — moelleux aux champignons | BTQ04-0001 — Chips de mais | BTQ00-0023 — Cookies de manioc | BTQ01-0018 — la tour des rois"
dense;"Quel est le taux de change du yen japonais ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;oui;non;;"BTQ00-0032 — clou de giroffle | BTQ12-0021 — caisse en bambou de chine | BTQ12-0002 — sac en paille | BTQ09-0014 — collier en bambou de chine | BTQ09-0021 — Stylos en bambou de chine"
dense;"Quels artisans réparent les moteurs diesel ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;oui;non;;"ART-2026-0025 — MOUTAPMBEME JONAS | BTQ01-0010 — vin d'ail | BTQ01-0009 — poudre d'ail | ART-2026-0032 — MBOULE Simone | ART-2026-0024 — NJEUYIM TOUOMO Guy Marcel"
dense;"Le village propose-t-il des cours de plongée sous-marine ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;oui;non;;"BTQ09-0017 — Damier, Collier et tableau avec message | BTQ09-0014 — collier en bambou de chine | BTQ09-0006 — boucles d'oreilles | BTQ09-0021 — Stylos en bambou de chine | BTQ09-0020 — chaine en bambou de chnie"
dense;"Quelle est la météo prévue pour la semaine prochaine ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;oui;non;;"BTQ00-0032 — clou de giroffle | ART-2026-0033 — Mme GUESSONG(payé le 01/09/25) | BTQ00-0067 — Petit tableau déco | BTQ12-0033 — Panniers en paille | BTQ00-0008 — césame"
dense;"Qui vend des semi-conducteurs au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;oui;non;;"BTQ09-0017 — Damier, Collier et tableau avec message | BTQ01-0009 — poudre d'ail | BTQ12-0003 — chapeau en paille | BTQ09-0006 — boucles d'oreilles | BTQ09-0022 — bracelets en bambou de chine"
dense;"Trouve-t-on de la porcelaine de Limoges ici ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;oui;non;;"BTQ00-0019 — tableau de décoration | BTQ00-0067 — Petit tableau déco | BTQ00-0028 — biscuit de manioc | BTQ00-0066 — Grand tableau déco | BTQ00-0015 — vinaigre"
hybride;"Quel est le chiffre d'affaires ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel est le chiffre d'affaires en juillet ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel chiffre d'affaires en 2024 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel est le montant des ventes ce mois-ci ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Combien le village a-t-il vendu cette année ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelles sont les recettes de commission ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel est le montant des commissions en mars 2025 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Combien de ventes ont été enregistrées ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Combien de ventes en juin 2024 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel est le panier moyen ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelles sont les dettes envers les artisans ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Combien reste-t-il à reverser ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel est le solde de caisse ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Combien y a-t-il en caisse ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel est le dernier reversement ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelle est la dernière campagne de reversement ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelles sont les ventes par boutique ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelles sont les ventes par artisan ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelles sont les ventes par vendeur en 2025 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelle est la provenance des clients ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel artisan vend le plus ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelle boutique vend le plus en juillet ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quel est le taux d'occupation du parc ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Combien d'espaces sont occupés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quels produits sont en rupture de stock ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Combien de produits en rupture ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quels sont les produits isolés du catalogue ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quels sont les segments saturés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
hybride;"Quelle est la situation de l'artisan ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
hybride;"Quelle est l'activité de la boutique ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
hybride;"Quels artisans travaillent la vannerie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ12-0038 — Collier | ART-2026-0032 — MBOULE Simone | BTQ12-0005 — sac | ART-2026-0025 — MOUTAPMBEME JONAS | BTQ12-0008 — chapeau"
hybride;"Qui fait de la sculpture au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ08-0019 — chapeaux | BTQ08-0024 — sac en bandoulière | BTQ07-0001 — bracelet | BTQ07-0007 — chaine en perles | BTQ07-0004 — statuette en bois"
hybride;"Quels artisans travaillent le bronze ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ08-0011 — Cameroun sculpté | BTQ07-0007 — chaine en perles | BTQ08-0024 — sac en bandoulière | BTQ08-0025 — sac ndop en bandoulière | BTQ07-0004 — statuette en bois"
hybride;"Que propose l'agroalimentaire au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ01-0016 — Vin de gingembre | BTQ03-0002 — miel | BTQ01-0009 — poudre d'ail | BTQ06-0001 — biscuit | BTQ01-0011 — huile d'avocat"
hybride;"Quels artisans font du tissage ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ00-0019 — tableau de décoration | BTQ04-0001 — Chips de mais | BTQ00-0050 — chips de pomme | BTQ00-0067 — Petit tableau déco | ART-2026-0035 — SOLISTA"
hybride;"Qui travaille le cuir ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ00-0032 — clou de giroffle | ART-2026-0009 — NSO YONKA - Shoe Factory | BTQ12-0001 — chaussure | BTQ00-0046 — Lait de toilette | BTQ00-0041 — lait éclaircissant"
hybride;"Quels artisans font de la menuiserie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ00-0019 — tableau de décoration | BTQ09-0001 — bracelet | BTQ09-0005 — bracelets | BTQ09-0021 — Stylos en bambou de chine | BTQ00-0028 — biscuit de manioc"
hybride;"Que trouve-t-on en cosmétiques ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;1.000;"BTQ00-0036 — Shampoing cosmétique | ART-2026-0014 — madi cosmétique | BTQ06-0019 — croquettes | BTQ00-0005 — lave vitre | BTQ06-0021 — savon 5l"
