moteur;question;categorie_attendue;categorie_obtenue;classification;branche;refus_attendu;refus_obtenu;rappel;sources
mots_cles;"Combien de produits en rupture ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quels sont les produits isolés du catalogue ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quels sont les segments saturés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelle est la situation de l'artisan ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
mots_cles;"Quelle est l'activité de la boutique ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
mots_cles;"Quels artisans travaillent la vannerie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ12-0002 — sac en paille | BTQ12-0003 — chapeau en paille | BTQ12-0004 — babouche | BTQ12-0005 — sac | BTQ12-0008 — chapeau"
mots_cles;"Qui fait de la sculpture au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ07-0001 — bracelet | BTQ07-0002 — masque | BTQ08-0001 — Bol en bois | BTQ07-0003 — masque | BTQ08-0002 — objet en bois"
mots_cles;"Quels artisans travaillent le bronze ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;non;oui;0.000;
mots_cles;"Que propose l'agroalimentaire au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ06-0001 — biscuit | BTQ06-0002 — farine patate | BTQ06-0010 — biscuit de manioc | BTQ06-0011 — biscuit de patate | BTQ06-0013 — biscuit patate"
mots_cles;"Quels artisans font du tissage ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;non;oui;0.000;
mots_cles;"Qui travaille le cuir ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ12-0001 — chaussure | ART-2026-0009 — NSO YONKA - Shoe Factory"
mots_cles;"Quels artisans font de la menuiserie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ09-0001 — bracelet | BTQ09-0002 — boucles | BTQ09-0003 — Porte clé | BTQ09-0004 — boucle | BTQ09-0005 — bracelets"
mots_cles;"Que trouve-t-on en cosmétiques ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ06-0003 — beurre de karité | BTQ06-0004 — beurre karité | BTQ00-0004 — détergent sachet | BTQ00-0005 — lave vitre | BTQ00-0006 — détergent"
mots_cles;"Quels produits relèvent de la décoration ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ02-0001 — anti poison | BTQ02-0002 — charbon végétal | BTQ02-0003 — ginseng | BTQ02-0004 — anti,,, | BTQ02-0005 — médicament"
mots_cles;"Quels artisans pratiquent la broderie traditionnelle ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"ART-2026-0007 — NKONDZOU Thomas | ART-2026-0008 — DJOKO POKAM ALEX | ART-2026-0019 — TSANMAT | ART-2026-0040 — BASSIE MOFO Julius"
mots_cles;"Quels artisans soufflent le verre de Murano ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Où acheter des skis de fond au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Quel est le taux de change du yen japonais ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Quels artisans réparent les moteurs diesel ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Le village propose-t-il des cours de plongée sous-marine ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Quelle est la météo prévue pour la semaine prochaine ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Qui vend des semi-conducteurs au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Trouve-t-on de la porcelaine de Limoges ici ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
